=== Baseline (cloud-only) ===
[EDGE2] 10/50 /sensor16.json -> 0.0065s
[EDGE2] 11/50 /video87.mp4 -> 0.0143s
[EDGE2] 12/50 /sensor47.json -> 0.0009s
[EDGE2] 13/50 /sensor93.json -> 0.0007s
[EDGE2] 14/50 /video99.mp4 -> 0.0108s
[EDGE2] 15/50 /sensor7.json -> 0.0006s
[EDGE2] 16/50 /video40.mp4 -> 0.0027s
[EDGE2] 17/50 /video90.mp4 -> 0.0132s
[EDGE2] 18/50 /sensor73.json -> 0.0063s
[EDGE2] 19/50 /video80.mp4 -> 0.0061s
[EDGE2] 20/50 /video70.mp4 -> 0.0073s
[EDGE2] 21/50 /video17.mp4 -> 0.0125s
[EDGE2] 22/50 /sensor7.json -> 0.0005s
[EDGE2] 23/50 /video43.mp4 -> 0.0029s
[EDGE2] 24/50 /sensor1.json -> 0.0011s
[EDGE2] 25/50 /sensor70.json -> 0.0009s
[EDGE2] 26/50 /video76.mp4 -> 0.0027s
[EDGE2] 27/50 /video46.mp4 -> 0.0138s
[EDGE2] 28/50 /video15.mp4 -> 0.0074s
[EDGE2] 29/50 /sensor64.json -> 0.0005s
[EDGE2] 30/50 /video55.mp4 -> 0.0132s
[EDGE2] 31/50 /sensor22.json -> 0.0030s
[EDGE2] 32/50 /sensor56.json -> 0.0064s
[EDGE2] 33/50 /sensor61.json -> 0.0007s
[EDGE2] 34/50 /sensor99.json -> 0.0006s
[EDGE2] 35/50 /sensor46.json -> 0.0008s
[EDGE2] 36/50 /sensor40.json -> 0.0063s
[EDGE2] 37/50 /sensor31.json -> 0.0006s
[EDGE2] 38/50 /video10.mp4 -> 0.0127s
[EDGE2] 39/50 /sensor43.json -> 0.0005s
[EDGE2] 40/50 /sensor55.json -> 0.0010s
[EDGE2] 41/50 /sensor42.json -> 0.0006s
[EDGE2] 42/50 /video39.mp4 -> 0.0138s
[EDGE2] 43/50 /video4.mp4 -> 0.0171s
[EDGE2] 44/50 /sensor37.json -> 0.0030s
[EDGE2] 45/50 /video26.mp4 -> 0.0048s
[EDGE2] 46/50 /sensor31.json -> 0.0005s
[EDGE2] 47/50 /sensor85.json -> 0.0009s
[EDGE2] 48/50 /video4.mp4 -> 0.0062s
[EDGE2] 49/50 /sensor14.json -> 0.0065s
[EDGE2] 50/50 /video79.mp4 -> 0.0137s

[EDGE2] avg=0.0059s, p95=0.0140s

[EDGE3] 1/50 /sensor33.json -> 0.0055s
[EDGE3] 2/50 /video25.mp4 -> 0.0140s
[EDGE3] 3/50 /video54.mp4 -> 0.0036s
[EDGE3] 4/50 /sensor95.json -> 0.0010s
[EDGE3] 5/50 /video82.mp4 -> 0.0136s
[EDGE3] 6/50 /video29.mp4 -> 0.0142s
[EDGE3] 7/50 /video25.mp4 -> 0.0038s
[EDGE3] 8/50 /sensor44.json -> 0.0008s
[EDGE3] 9/50 /video10.mp4 -> 0.0028s
[EDGE3] 10/50 /video30.mp4 -> 0.0157s
[EDGE3] 11/50 /sensor57.json -> 0.0009s
[EDGE3] 12/50 /video59.mp4 -> 0.0068s
[EDGE3] 13/50 /sensor35.json -> 0.0010s
[EDGE3] 14/50 /sensor83.json -> 0.0060s
